"","WEATHER_CONDITION","CRASH_HOUR","LATITUDE","LONGITUDE"
"292","CLEAR",12,41.90958301,-87.74073549
"293","CLEAR",20,41.884460831,-87.627763075
"294","CLEAR",15,41.994408594,-87.66349975
"295","CLEAR",13,41.774333945,-87.610517951
"296","CLEAR",13,41.916953706,-87.753437306
"297","CLEAR",15,41.730065308,-87.54443715
"298","CLEAR",22,41.99743743,-87.763859195
"299","CLEAR",18,41.742936305,-87.681827067
"300","CLEAR",21,41.73696442,-87.585059648
"301","CLEAR",15,41.715149456,-87.643187918
"302","CLEAR",7,41.929603462,-87.74717621
"303","CLEAR",20,41.71580477,-87.643208253
"304","CLEAR",19,41.867330511,-87.62756602
"305","CLEAR",13,41.778065874,-87.703262812
"306","CLEAR",14,41.953912653,-87.687813103
"307","CLEAR",17,41.692073198,-87.661003058
"308","CLEAR",18,41.893251198,-87.632493012
"309","CLEAR",4,41.770983897,-87.618699941
"310","CLEAR",11,41.796086562,-87.723388642
"311","CLEAR",13,41.8553608,-87.64500069
"312","RAIN",0,41.881611795,-87.676793024
"313","CLEAR",10,41.920799913,-87.73781183
"314","CLEAR",14,41.896870641,-87.752122904
"315","CLEAR",13,41.825430143,-87.685519792
"316","CLEAR",18,41.894108245,-87.633532208
"317","CLEAR",14,41.906127875,-87.726554031
"318","CLEAR",10,41.902461926,-87.624660601
"319","CLEAR",10,41.869643027,-87.645520292
"320","CLEAR",8,41.780146747,-87.621900909
"321","CLEAR",8,41.756663578,-87.605487366
"322","CLEAR",21,41.692559763,-87.621193695
"323","CLEAR",15,41.888918174,-87.644477973
"324","CLEAR",21,41.780525395,-87.586602996
"325","CLEAR",19,41.894903433,-87.624104194
"326","CLEAR",11,41.924385356,-87.667968961
"327","CLEAR",8,41.885862105,-87.626858645
"328","CLEAR",0,41.899224596,-87.696642375
"329","CLEAR",6,41.762887751,-87.673628559
"330","CLEAR",8,41.744315875,-87.585316041
"331","CLEAR",16,41.756403093,-87.624576516
"332","CLEAR",23,41.776726736,-87.771303495
"333","CLEAR",7,41.765291025,-87.644562127
"334","CLEAR",10,41.851921774,-87.685751356
"335","CLEAR",12,41.975313943,-87.759155532
"336","CLEAR",18,41.992771129,-87.660499753
"337","CLEAR",1,41.920495636,-87.774641155
"338","CLEAR",9,41.976201139,-87.905309125
"339","CLEAR",11,41.895902413,-87.745976651
"340","CLEAR",18,41.692347126,-87.652232335
"341","CLEAR",9,41.968345987,-87.72851802
"342","CLEAR",10,41.750750387,-87.634384345
"343","CLEAR",14,41.782484511,-87.704079368
"344","CLEAR",11,41.711550825,-87.535133341
"345","CLEAR",3,41.940270678,-87.638489907
"346","CLEAR",14,41.949123401,-87.657890363
"347","CLEAR",18,41.814845815,-87.599227824
"348","CLEAR",1,41.888156732,-87.721132625
"349","CLEAR",12,41.735715974,-87.658054896
"350","CLEAR",15,41.828035141,-87.704697732
"351","CLEAR",6,41.895057821,-87.754754943
"352","CLEAR",11,41.990761963,-87.816762188
"353","CLEAR",22,41.898473333,-87.755751993
"354","CLEAR",6,41.872441378,-87.719585994
"355","CLEAR",21,41.761393876,-87.65872664
"356","CLEAR",13,41.780349967,-87.615565313
"357","CLEAR",18,41.787127442,-87.645487944
"358","CLEAR",15,41.90607716,-87.746184725
"359","CLEAR",18,41.777566865,-87.664020574
"360","CLEAR",17,41.744111754,-87.6029756
"361","CLEAR",5,41.932026083,-87.716742872
"362","CLEAR",23,41.998817231,-87.687621405
"363","CLEAR",15,41.882393186,-87.755287699
"364","CLEAR",9,42.012704371,-87.674500719
"365","CLEAR",12,41.79452806,-87.674173352
"366","CLEAR",23,41.795956695,-87.703479604
"367","CLEAR",21,41.892094137,-87.611569884
"368","CLEAR",3,41.941769731,-87.787556717
"369","CLEAR",18,41.829101019,-87.704430205
"370","CLEAR",20,41.684571758,-87.635023432
"371","CLEAR",23,41.881027009,-87.710881187
"372","CLEAR",16,41.933535705,-87.644542927
"373","CLEAR",13,41.968572772,-87.707787701
"374","CLEAR",16,41.903378953,-87.658786967
"375","CLEAR",12,41.910097206,-87.717234116
"376","CLEAR",19,42.010302814,-87.660572006
"377","CLEAR",0,41.747550077,-87.616141073
"378","CLEAR",4,41.953395844,-87.758112925
"379","CLEAR",12,41.922842577,-87.697487482
"380","CLEAR",9,41.830408133,-87.665712758
"381","CLEAR",13,41.786669989,-87.663309708
"382","CLEAR",11,41.794260344,-87.624224419
"383","CLEAR",15,41.785606097,-87.615903877
"384","CLEAR",17,41.897381223,-87.711349218
"385","CLEAR",19,41.799885796,-87.723206224
"386","CLOUDY/OVERCAST",16,41.850300713,-87.632106036
"387","CLEAR",11,41.793554363,-87.664637551
"388","CLEAR",2,41.748591961,-87.65191095
"389","CLEAR",3,41.74411991,-87.60234975
