Latitude,Longitude,crime_hour
41.711527079,-87.636883761,16
41.736037583,-87.646167064,21
41.872680563,-87.714166016,18
41.99863535,-87.66061048,19
41.757630995,-87.585708249,7
41.906797102,-87.671861659,1
41.752470539,-87.634345074,8
41.899695895,-87.722548188,9
41.830651062,-87.62782984,8
41.878123916,-87.633208786,10
41.736965139,-87.652155018,10
41.882839503,-87.702019291,19
41.891412551,-87.647934597,21
41.76617713,-87.635955794,4
41.805654465,-87.622202605,11
41.906797102,-87.671861659,14
41.949417917,-87.829242363,14
41.920162379,-87.691355897,15
41.891759532,-87.645841089,17
41.877161446,-87.676536946,16
41.996986268,-87.662985961,0
41.757630995,-87.585708249,22
41.893623014,-87.765347251,5
41.823536688,-87.616989442,2
41.854304447,-87.685697788,9
41.862832503,-87.716915247,11
41.881693864,-87.652323905,14
41.881693864,-87.652323905,14
41.723925021,-87.677301321,20
41.79329893,-87.66456619,18
41.894507107,-87.711406242,21
41.756641668,-87.565114904,19
41.80761384,-87.613385208,7
41.926215267,-87.649840538,16
41.93075334,-87.771089075,2
41.89318177,-87.6345943,0
41.946911846,-87.674670916,10
41.772952517,-87.575258319,13
41.896594118,-87.648929683,13
41.807539047,-87.749646514,13
41.774322836,-87.596061639,10
41.924250576,-87.745545036,3
41.909921741,-87.72321854,8
41.795991039,-87.630542489,10
41.878123916,-87.633208786,8
41.67804233,-87.621464156,22
41.764192299,-87.671085179,17
41.881222205,-87.773260431,12
41.775015522,-87.683530209,7
41.940662214,-87.664991318,21
41.971196078,-87.712219967,2
41.859290468,-87.673592243,23
41.895721019,-87.767855681,7
41.989243623,-87.665119726,15
41.757708776,-87.615108764,13
41.90585053,-87.714220322,15
41.989243623,-87.665119726,15
41.787478247,-87.727897355,21
41.821167082,-87.726336414,16
41.848549425,-87.631909092,10
41.976454319,-87.901364605,15
41.976454319,-87.901364605,15
41.707674686,-87.623532466,13
41.91469242,-87.694673296,15
41.795991039,-87.630542489,15
41.877161446,-87.676536946,16
41.888993854,-87.626934833,17
41.888993854,-87.626934833,4
41.693813813,-87.612187865,1
41.758304471,-87.65394156,10
41.932835209,-87.643106886,12
41.654353626,-87.604029006,18
41.888993854,-87.626934833,11
41.888658426,-87.748890295,2
41.825104456,-87.605763351,22
41.795991039,-87.630542489,19
41.89318177,-87.6345943,3
41.86162732,-87.736045588,11
41.79329893,-87.66456619,19
41.94241959,-87.783671341,8
41.908444923,-87.752236623,19
41.751492182,-87.668324248,10
41.861619576,-87.712844704,20
41.988341219,-87.65676102,20
